"Bill of Material for "
"On 2018/2/19 at 17:50:16"

"Comment","Pattern","Quantity","Components"

"ASM1117","SOT-223","2","U2, U6","3.3V稳压芯片"
"Battery","CR1220","1","BT?","备份电池"
"BEEP","Beep","1","J1","蜂鸣器"
"Cap Pol","CAP-3528","5","C10, C11, C20, C21, C27","极性电解电容"
"Cap","C-RAD-0603","21","C1, C2, C3, C4, C5, C6, C8, C9, C12, C13, C14, C15, C16, C17, C18, C19, C22, C23, C24, C25, C26","无极性电容"
"CHO","HDR1X7","1","P6","Header, 7-Pin"
"Diode","DIODE-1206","2","D1, D2","二极管"
"ESP-12S Module","ESP-12S Module","1","M?","ESP-12S Module"
"Header 22X2","HDR2X22","1","LCD","Header, 22-Pin, Dual row"
"Header 4","HDR4X1_A","4","CH4, DHT12, SW, USART1_DEBUG","接插件"
"Inductor","0805-1","1","L1","电感"
"LED0","LED_0805","1","D3","发光二极管"
"LM358","NSO8_N","1","U7","双运放"
"NRF2401","IDE2X4","1","JP2","Header, 4-Pin, Dual row"
"PM25","HDR1X5","1","P7","Header, 5-Pin"
"Res1","0603-2","14","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14","贴片电阻"
"SS8050","SOT-23","1","Q?","NPN贴片三极管"
"STM32F407V","LQFP-100_M","1","U1","STM32单片机100引脚"
"USB_M","USB_MICRO","1","USB","MicroUSB接口"
"W25QXX","SOIC8_W","1","U5","SPI FLASH"
"XTAL","X-SM49","1","Y1","晶振"
